id,first_name,last_name,email,major,semester
1,Chau,Frink,ChauFrink@haw-hamburg.de,Angewante Informatik,1
2,Issac,Reilly,IssacReilly@haw-hamburg.de,Angewante Informatik,2
3,Jeffry,Elser,JeffryElser@haw-hamburg.de,Angewante Informatik,3
4,Tomasa,Foor,TomasaFoor@haw-hamburg.de,Angewante Informatik,4
5,Cherrie,Coogan,CherrieCoogan@haw-hamburg.de,Angewante Informatik,5
6,Shery,Bergerson,SheryBergerson@haw-hamburg.de,Angewante Informatik,6
7,Shanelle,Henze,ShanelleHenze@haw-hamburg.de,Angewante Informatik,7
8,Rosette,Worman,RosetteWorman@haw-hamburg.de,Angewante Informatik,8
9,Laura,Washam,LauraWasham@haw-hamburg.de,Angewante Informatik,9
10,Myong,Zoll,MyongZoll@haw-hamburg.de,Angewante Informatik,10
11,Toshia,Michelle,ToshiaMichelle@haw-hamburg.de,Angewante Informatik,11
12,Yun,Borgman,YunBorgman@haw-hamburg.de,Angewante Informatik,12
13,Shirlene,Noss,ShirleneNoss@haw-hamburg.de,Angewante Informatik,13
14,Janae,Mccurdy,JanaeMccurdy@haw-hamburg.de,Angewante Informatik,14
15,Ping,Holsapple,PingHolsapple@haw-hamburg.de,Angewante Informatik,1
16,Retta,Trudeau,RettaTrudeau@haw-hamburg.de,Angewante Informatik,2
17,Orpha,Davisson,OrphaDavisson@haw-hamburg.de,Angewante Informatik,3
18,Maybelle,Volkert,MaybelleVolkert@haw-hamburg.de,Angewante Informatik,4
19,Lory,Deshon,LoryDeshon@haw-hamburg.de,Angewante Informatik,5
20,Leroy,Aguas,LeroyAguas@haw-hamburg.de,Angewante Informatik,6
21,Solange,Escobar,SolangeEscobar@haw-hamburg.de,Angewante Informatik,7
22,Krystyna,Sierra,KrystynaSierra@haw-hamburg.de,Angewante Informatik,8
23,Armandina,Demille,ArmandinaDemille@haw-hamburg.de,Angewante Informatik,9
24,Royal,Guerin,RoyalGuerin@haw-hamburg.de,Angewante Informatik,10
25,Virgie,Laursen,VirgieLaursen@haw-hamburg.de,Angewante Informatik,11
26,Vinnie,Ortis,VinnieOrtis@haw-hamburg.de,Angewante Informatik,12
27,Lessie,Engberg,LessieEngberg@haw-hamburg.de,Angewante Informatik,13
28,Jacelyn,Purdie,JacelynPurdie@haw-hamburg.de,Angewante Informatik,14
29,Antionette,Lacoste,AntionetteLacoste@haw-hamburg.de,Angewante Informatik,1
30,Waneta,Ponte,WanetaPonte@haw-hamburg.de,Angewante Informatik,2
31,Nancey,Voight,NanceyVoight@haw-hamburg.de,Angewante Informatik,3
32,Garth,Mote,GarthMote@haw-hamburg.de,Angewante Informatik,4
33,Hiroko,Hersey,HirokoHersey@haw-hamburg.de,Angewante Informatik,5
34,Lieselotte,Ohler,LieselotteOhler@haw-hamburg.de,Angewante Informatik,6
35,Teddy,Seyler,TeddySeyler@haw-hamburg.de,Angewante Informatik,7
36,Quentin,Parisien,QuentinParisien@haw-hamburg.de,Angewante Informatik,8
37,Buster,Pflum,BusterPflum@haw-hamburg.de,Angewante Informatik,9
38,Shondra,Alvarez,ShondraAlvarez@haw-hamburg.de,Angewante Informatik,10
39,Zaida,Maul,ZaidaMaul@haw-hamburg.de,Angewante Informatik,11
40,Marcus,Goulart,MarcusGoulart@haw-hamburg.de,Angewante Informatik,12
41,Asia,Piotrowski,AsiaPiotrowski@haw-hamburg.de,Angewante Informatik,13
42,Marylee,Gomer,MaryleeGomer@haw-hamburg.de,Angewante Informatik,14
43,Hosea,Vine,HoseaVine@haw-hamburg.de,Angewante Informatik,1
44,Eladia,Lafleur,EladiaLafleur@haw-hamburg.de,Angewante Informatik,2
45,Vernetta,Haddad,VernettaHaddad@haw-hamburg.de,Angewante Informatik,3
46,Vanita,Caliendo,VanitaCaliendo@haw-hamburg.de,Angewante Informatik,4
47,Cristin,Goertz,CristinGoertz@haw-hamburg.de,Angewante Informatik,5
48,Mira,Pintor,MiraPintor@haw-hamburg.de,Angewante Informatik,6
49,Julene,Kaur,JuleneKaur@haw-hamburg.de,Angewante Informatik,7
50,Hang,Rupp,HangRupp@haw-hamburg.de,Angewante Informatik,8
51,Qiana,Brickley,QianaBrickley@haw-hamburg.de,Angewante Informatik,9
52,Elroy,Sickels,ElroySickels@haw-hamburg.de,Angewante Informatik,10
53,Nichole,Badon,NicholeBadon@haw-hamburg.de,Angewante Informatik,11
54,Ardath,Bonelli,ArdathBonelli@haw-hamburg.de,Angewante Informatik,12
55,Dalila,Steveson,DalilaSteveson@haw-hamburg.de,Angewante Informatik,13
56,Thad,Utz,ThadUtz@haw-hamburg.de,Angewante Informatik,14
57,Rosaria,Scalise,RosariaScalise@haw-hamburg.de,Angewante Informatik,1
58,Cleora,Geiger,CleoraGeiger@haw-hamburg.de,Angewante Informatik,2
59,Stevie,Moors,StevieMoors@haw-hamburg.de,Angewante Informatik,3
60,Lexie,Coolidge,LexieCoolidge@haw-hamburg.de,Angewante Informatik,4
61,Lucio,Bartol,LucioBartol@haw-hamburg.de,Angewante Informatik,5
62,Janean,Emmerich,JaneanEmmerich@haw-hamburg.de,Angewante Informatik,6
63,Miles,Loya,MilesLoya@haw-hamburg.de,Angewante Informatik,7
64,Lecia,Shor,LeciaShor@haw-hamburg.de,Angewante Informatik,8
65,Tabitha,Broderson,TabithaBroderson@haw-hamburg.de,Angewante Informatik,9
66,Earlene,Koh,EarleneKoh@haw-hamburg.de,Angewante Informatik,10
67,Deloras,Pinkney,DelorasPinkney@haw-hamburg.de,Angewante Informatik,11
68,Myesha,Statler,MyeshaStatler@haw-hamburg.de,Angewante Informatik,12
69,Cyndy,Whisenhunt,CyndyWhisenhunt@haw-hamburg.de,Angewante Informatik,13
70,Ryan,Rojero,RyanRojero@haw-hamburg.de,Angewante Informatik,14
71,Marvella,Dawson,MarvellaDawson@haw-hamburg.de,Angewante Informatik,1
72,Krystal,Wingate,KrystalWingate@haw-hamburg.de,Angewante Informatik,2
73,Jodi,Oser,JodiOser@haw-hamburg.de,Angewante Informatik,3
74,Glinda,Quinney,GlindaQuinney@haw-hamburg.de,Angewante Informatik,4
75,Mikki,Farraj,MikkiFarraj@haw-hamburg.de,Angewante Informatik,5
76,Rodney,Luick,RodneyLuick@haw-hamburg.de,Angewante Informatik,6
77,Virgilio,Kirch,VirgilioKirch@haw-hamburg.de,Angewante Informatik,7
78,Paige,Delaney,PaigeDelaney@haw-hamburg.de,Angewante Informatik,8
79,Wendi,Hocking,WendiHocking@haw-hamburg.de,Angewante Informatik,9
80,Alana,Abbas,AlanaAbbas@haw-hamburg.de,Angewante Informatik,10
